embedding_index,event_id
1454,20200919X55955
1455,20200913X42556
1456,20191023X53135
1457,20200917X31028
1458,20191017X22012
1459,20170711X13833
1460,20200305X61736
1461,20200228X25148
1462,20190826X32626
1463,20080123X00091
1464,20200920X20031
1465,20200915X45814
1466,20190722X23001
1467,20190709X25759
1468,20190715X05519
1469,20190715X31535
1470,20190828X74159
1471,20190722X15452
1472,20190716X55113
1473,20190829X05958
1474,20190612X03140
1475,20190902X34852
1476,20190630X31613
1477,20190630X25602
1478,20190628X80552
1479,20190826X43114
1480,20190826X40754
1481,20190617X64617
1482,20190617X92437
1483,20170731X22545
1484,20170725X64628
1485,20170824X70554
1486,20170907X94229
1487,20191102X74138
1488,20191102X73517
1489,20191123X25734
1490,20200802X32032
1491,20200727X35400
1492,20200726X51530
1493,20200724X84946
